Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2021","2021","kt","39276.930036","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2022","2022","kt","40140.801585","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2023","2023","kt","40328.981438","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1990","1990","kt","1430.232672","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1991","1991","kt","1261.492133","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1992","1992","kt","1146.797166","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1993","1993","kt","1203.760637","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1994","1994","kt","1342.038313","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1995","1995","kt","1475.533581","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1996","1996","kt","1329.776633","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1997","1997","kt","1302.881681","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1998","1998","kt","1623.722812","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","1999","1999","kt","1572.979656","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2000","2000","kt","1546.309099","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2001","2001","kt","1470.411868","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2002","2002","kt","1511.127431","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2003","2003","kt","1566.756872","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2004","2004","kt","1629.65733","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2005","2005","kt","3614.677714","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2006","2006","kt","3619.69011","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2007","2007","kt","3795.569136","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2008","2008","kt","4279.238447","E","Estimated value"
"GPP","Emissions from pre and post agricultural production","002","Africa","723113","Emissions (CO2eq) (AR5)","6506","Food Packaging","2009","2009","kt","5489.692321","E","Estimated value"
